start_time,end_time,activity
00:06,00:07,YOGA
00:07,00:11,PRO_REP
00:11,00:13,GAMES
00:13,00:15,PRO_REP
00:15,00:18,PRO_OTH
00:20,00:20,PRO_OTH
00:20,00:20,PRO_ELEC
00:24,00:30,GAMES
00:33,00:35,GAMES
00:37,00:38,PRO_ELEC
00:38,00:38,PRO_EMBE
00:46,00:46,PRO_EMBE
00:46,00:46,PRO_ELEC
00:46,00:47,PRO_OTH
00:51,00:52,PRO_REP
00:58,00:58,FRIEND
01:03,01:07,PARTY
01:08,01:08,PRO_INFO
01:12,01:12,PRO_REP
01:15,01:15,VOLLEY
01:15,01:15,REE
01:24,01:25,PRO_ELEC
01:25,01:25,REE
01:28,01:28,PRO_OTH
01:33,01:33,PRO_OTH
01:37,01:37,PRO_EMBE
01:40,01:40,PRO_OTH
01:40,01:42,REE
01:42,01:52,NOTHING
01:52,01:54,STRETCH
01:54,02:02,PHONE
13:26,13:26,PRO_EMBE
13:26,13:36,PHONE
14:05,14:06,PRO_ELEC
15:15,15:16,PRO_ELEC
15:16,15:16,SCHOOL_RE
15:16,15:16,EAT
15:16,15:18,PRO_EMBE
15:18,15:18,NOTHING
15:18,15:18,STRETCH
15:19,15:19,PHONE
19:24,19:25,GAMES
19:25,19:25,PRO_REP
19:25,19:25,SPO_HOM
19:25,19:25,EAT
19:25,19:25,PRO_EMBE
19:25,19:25,VOLLEY
19:25,19:34,SCHOOL
19:34,19:36,PARTY
19:38,19:38,SCHOOL
19:38,19:39,SCHOOL
19:45,19:46,SCHOOL
19:48,19:48,SCHOOL
19:48,19:49,SCHOOL
19:49,20:00,COOK
20:00,20:32,EAT
20:32,22:04,FRIEND
